ID,C:\Users\harla\Desktop\Socrative
C1C3B,0
R5K3B,0
I5G3B,0
W0H3B,100
C4L3B,100
I3A3B,100
U1Q1B,0
T0M3B,100
G7M3B,0
R6A3B,100
Q8O2B,0
B7L3B,100
R1M3B,100
L0H3B,0
H6L2B,0
P9L3B,0
V1M3B,100
G1L3B,0
J3Z1B,100
E7L3B,0
V6F1B,100
Q4M3B,0
W5I3B,100
B5L3B,100
S7M2B,100
H0M3B,0
U6N0B,100
N1M3B,100
C9L3B,100
N0M3B,0
Y8J3B,100
K5Z1B,100
K1U1B,100
N5Y2B,0
E8P1B,0
A5H2B,100
A8J3B,100
A2M3B,100
P6B3B,0
M9L3B,100
S0M3B,100
J1U1B,100
Y1X2B,100
H4M3B,100
Z7N2B,0
L9B3B,0
G7I3B,100
F2U2B,100
G7D3B,0
Y9I3B,100
C7H3B,100
W4W1B,100
T9L3B,100
C5L3B,100
I6L2B,0
D2M3B,100
Z1M3B,100
C7I3B,100
E4G3B,0
K7L3B,100
U7M3B,0
D8M3B,0
Z1X2B,100
C1M3B,100
E4E3B,100
T8X9A,0
T3Z2B,0
S7M3B,0
A3L3B,100
Z2H3B,100
I8I3B,0
K6F3B,0
X8A3B,100
W1M3B,100
L5J3B,0
D7L3B,100
K9L3B,100
W5H3B,100
L5M3B,0
U0J1B,100
K4K3B,100
Q5L3B,100
V8L3B,0
K3L3B,100
T9F1B,0
Z3M3B,0
A8B3B,0
F0U2B,0
O6J2B,0
F5U2B,0
Y1M3B,100
W2M3B,100
E4I3B,0
Y8G0B,50
L7M3B,100
X5M3B,100
S8B2B,100
O5M3B,100
U8U2B,100
N2M3B,0
Y9W2B,0
E6Y1B,100
T2M3B,100
I2Z2B,100
H6L3B,100
E8L3B,100
F2M3B,100
S2W2B,0
O2T2B,100
W3L3B,100
Z9E2B,0
C8U2B,100
Z8A3B,0
I8L3B,0
L2C3B,100
T9F3B,100
O0B2B,100
Y2M3B,100
D0T1B,100
M6F2B,0
H5W2B,100
R7H2B,0
R8W2B,100
I9L3B,0
T1C2B,100
M3S2B,100
H5M3B,0
G6M3B,0
C6L3B,100
K7J3B,100
Y8L3B,100
L9L3B,0
O6Y2B,0
C2W2B,100
R1J3B,0
D1J3B,0
N8L1B,100
G5L3B,0
K4L3B,100
C5M3B,0
D6L3B,0
I1M3B,100
C7T0B,0
M0O2B,0
H1L8,100
A4M3B,0
V8B3B,100
X5L3B,100
L4L3B,100
K9X0B,0
C8G3B,0
B6M3B,0
U2M3B,100
L0I2B,50
N4A3B,0
D4Y2B,100
J1S2B,100
E5M3B,100
N6L3B,0
T4M3B,100
X2E3B,100
I6X2B,0
H7M3B,0
J7L3B,100
I0P1B,0
S1P1B,100
O8D3B,100
T4U2B,0
W3Z1B,0
X3V2B,0
Q4J3B,100
D1G3B,100
W5L3B,100
C8T2B,0
E8M3B,100
D5M3B,0
M3Y2B,100
B4K2B,0
A8J2B,0
N5L3B,100
E0K3B,100
F8L3B,100
F2B3B,100
R2G3B,100
O7M3B,0
V6A1B,0
B2K3B,0
I4M3B,100
N8L2B,0
U6L3B,100
J8D3B,0
B3L3B,100
H9S2B,100
W7M3B,0
N6J3B,100
A4Y2B,0
D3A3B,100
D0B2B,0
O8X2B,100
J0G3B,100
D1M3B,100
S5Y2B,0
K1D2B,0
A2H3B,0
N9K3B,0
R4P0B,0
L8L3B,0
S9Y2B,100
C8Z1B,0
J8I3B,100
Z9L3B,100
S4S2B,100
G2M3B,100
S7L3B,100
Z4H3B,0
M4M2B,100
V3L3B,0
M5L3B,0
D5I2B,100
E5L3B,100
Z2M3B,100
I8M3B,0
